Title,Country,Release Year,Genres,Count
Tarung Sarung,Indonesia,2020,"Action & Adventure, Dramas, Faith & Spirituality",1
Too Handsome to Handle,Indonesia,2019,"Comedies, Dramas, International Movies",1
The Rope Curse 2,Taiwan,2020,"Horror Movies, International Movies",1
Cops and Robbers,United States,2020,Dramas,1
Death to 2020,United States,2020,Comedies,1
DNA,"France, Algeria",2020,"Dramas, International Movies",1
The Magic School Bus Rides Again In the Zone,Canada,2020,Children & Family Movies,1
AK vs AK,India,2020,"Comedies, Dramas, International Movies",1
Isa Pa with Feelings,Philippines,2019,"International Movies, Romantic Movies",1
We Can Be Heroes,United States,2020,"Children & Family Movies, Comedies",1
Bridezilla,Indonesia,2019,"Comedies, Dramas, International Movies",1
Cemara's Family,Indonesia,2018,"Children & Family Movies, Dramas, International Movies",1
"Hello, Love, Goodbye",Philippines,2019,"Dramas, International Movies, Romantic Movies",1
The Midnight Sky,United States,2020,Dramas,1
Your Name Engraved Herein,Taiwan,2020,"Dramas, International Movies, LGBTQ Movies",1
After We Collided,United States,2020,"Dramas, Romantic Movies",1
London Hughes: To Catch a D*ck,United States,2020,Stand-Up Comedy,1
QLIMAX THE SOURCE,Netherlands,2020,Music & Musicals,1
Shaun the Sheep: The Farmer’s Llamas,United Kingdom,2020,"Children & Family Movies, Comedies",1
"Ariana grande: excuse me, i love you",United States,2020,"Documentaries, Music & Musicals",1
The Con Is On,"United States, United Kingdom",2018,Comedies,1
Mohamed Hussein,Egypt,2019,"Comedies, International Movies",1
Rhys Nicholson Live at the Athenaeum,United Kingdom,2020,Stand-Up Comedy,1
Guest House,United States,2020,Comedies,1
Ma Rainey's Black Bottom,United States,2020,"Dramas, Music & Musicals",1
An Unremarkable Christmas,Colombia,2020,"Comedies, Dramas, International Movies",1
Braven,Canada,2018,Action & Adventure,1
Eggnoid: Love & Time Portal,Indonesia,2019,"Dramas, International Movies, Romantic Movies",1
Love You to the Stars and Back,Philippines,2017,"Comedies, International Movies, Romantic Movies",1
Sakaling Maging Tayo,Philippines,2019,"International Movies, Romantic Movies",1
Incarnate,United States,2016,"Horror Movies, Thrillers",1
Nocturnal Animals,United States,2016,"Dramas, Thrillers",1
Vir Das: Outside In - The Lockdown Special,India,2020,Stand-Up Comedy,1
Grizzlies,Canada,2018,"Dramas, Independent Movies, Sports Movies",1
The Professor and the Madman,"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",2019,"Dramas, Independent Movies",1
A California Christmas,United States,2020,"Comedies, Romantic Movies",1
The Netflix Afterparty: The Best Shows of The Worst Year,United States,2020,Comedies,1
Canvas,United States,2020,"Children & Family Movies, Dramas",1
Giving Voice,United States,2020,Documentaries,1
The Prom,United States,2020,"Comedies, LGBTQ Movies, Music & Musicals",1
Torbaaz,India,2020,"Dramas, International Movies, Sports Movies",1
Funny Boy,"Canada, United States",2020,"Dramas, LGBTQ Movies",1
Just The Way You Are,Philippines,2016,"International Movies, Romantic Movies",1
The Panti Sisters,Philippines,2019,"Comedies, International Movies, LGBTQ Movies",1
"Kalel, 15",Philippines,2019,"Dramas, Independent Movies, International Movies",1
Rose Island,Italy,2020,"Comedies, Dramas, International Movies",1
André & his olive tree,Singapore,2020,"Documentaries, International Movies",1
Bobbleheads The Movie,United States,2020,"Children & Family Movies, Comedies",1
Emicida: AmarElo - It’s All For Yesterday,Brazil,2020,"Documentaries, International Movies, Music & Musicals",1
Spirit Riding Free: Ride Along Adventure,United States,2020,Children & Family Movies,1
Triple 9,United States,2016,"Dramas, Thrillers",1
Ava,United States,2020,"Action & Adventure, Dramas",1
Mighty Express: A Mighty Christmas,Canada,2020,Children & Family Movies,1
Captain Underpants Mega Blissmas,United States,2020,"Children & Family Movies, Comedies",1
Christmas Crossfire,Germany,2020,"Comedies, International Movies, Thrillers",1
Leyla Everlasting,Turkey,2020,"Comedies, International Movies",1
MANK,United States,2020,"Dramas, Independent Movies",1
You Are My Home,United States,2020,"Children & Family Movies, Dramas",1
Between Maybes,Philippines,2019,"Dramas, International Movies, Romantic Movies",1
Break,"France, Belgium",2018,"Comedies, Dramas, International Movies",1
Just Another Christmas,Brazil,2020,"Comedies, International Movies",1
Ari Eldjárn: Pardon My Icelandic,Iceland,2020,Stand-Up Comedy,1
Fierce,Poland,2020,"Comedies, Dramas, International Movies",1
Hazel Brugger: Tropical,Germany,2020,Stand-Up Comedy,1
Angela's Christmas Wish,United States,2020,Children & Family Movies,1
Natalie Palamides: Nate - A One Man Show,United States,2020,Comedies,1
Peppermint,"Hong Kong, United States",2018,Action & Adventure,1
The Happytime Murders,"United States, China, Canada",2018,"Action & Adventure, Comedies",1
U-Turn,Philippines,2020,"Horror Movies, International Movies",1
Finding Agnes,Philippines,2020,"Dramas, International Movies",1
Rust Creek,United States,2018,Thrillers,1
Spookley and the Christmas Kittens,United States,2019,Children & Family Movies,1
The 2nd,United States,2020,Action & Adventure,1
A Go! Go! Cory Carson Christmas,United States,2020,Children & Family Movies,1
Dance Dreams: Hot Chocolate Nutcracker,United States,2020,"Children & Family Movies, Documentaries",1
Don’t Listen,Spain,2020,"Horror Movies, International Movies",1
The Beast,Italy,2020,"Action & Adventure, International Movies",1
The Call,South Korea,2020,"International Movies, Thrillers",1
Fantastica,Philippines,2018,"Comedies, International Movies, LGBTQ Movies",1
Larry the Cable Guy: Remain Seated,United States,2020,Stand-Up Comedy,1
Mosul,United States,2020,"Action & Adventure, Dramas, International Movies",1
Unexpectedly Yours,Philippines,2017,"Comedies, International Movies, Romantic Movies",1
Ghosts of War,United Kingdom,2020,Horror Movies,1
Shawn Mendes: Live in Concert,"United Kingdom, United States",2020,Music & Musicals,1
The Christmas Chronicles: Part Two,Canada,2020,"Children & Family Movies, Comedies",1
Andhakaaram,India,2020,"Horror Movies, International Movies, Thrillers",1
Dragons: Rescue Riders: Huttsgalor Holiday,United States,2020,"Children & Family Movies, Comedies",1
Hillbilly Elegy,United States,2020,Dramas,1
Notes for My Son,Argentina,2020,"Dramas, International Movies",1
Hard Kill,United States,2020,Action & Adventure,1
Shawn Mendes: In Wonder,United States,2020,"Documentaries, Music & Musicals",1
The Suit,Egypt,2018,"Action & Adventure, Comedies, International Movies",1
Dolly Parton’s Christmas on the Square,United States,2020,"Children & Family Movies, Music & Musicals",1
40 Sticks,Kenya,2019,"International Movies, Thrillers",1
Alien Xmas,United States,2020,Children & Family Movies,1
If Anything Happens I Love You,United States,2020,Dramas,1
The App That Stole Christmas,United States,2020,"Children & Family Movies, Comedies",1
Hawaizaada,India,2015,"Dramas, International Movies, Romantic Movies",1
Raman Raghav 2.0,India,2016,"International Movies, Thrillers",1
TE3N,India,2016,"Dramas, International Movies, Thrillers",1
The Princess Switch: Switched Again,United States,2020,"Children & Family Movies, Comedies, Dramas",1
Three Words to Forever,Philippines,2018,"Comedies, Dramas, International Movies",1
Ainu Mosir,"United States, Japan",2020,"Dramas, International Movies",1
Kevin Hart: Zero F**ks Given,United States,2020,Stand-Up Comedy,1
Loving,"United Kingdom, United States",2016,"Dramas, Romantic Movies",1
Whose Streets?,United States,2017,Documentaries,1
A Very Country Christmas,"United States, Canada",2017,"Music & Musicals, Romantic Movies",1
Hometown Holiday,Canada,2018,Romantic Movies,1
Killer Cove,United States,2019,Thrillers,1
Fukrey Boyzzz: Space Mein Fukrapanti,India,2020,"Children & Family Movies, Comedies",1
Jingle Jangle: A Christmas Journey,United States,2020,"Children & Family Movies, Music & Musicals",1
The Beginning of Life 2: Outside,Brazil,2020,"Documentaries, International Movies",1
The Life Ahead,Italy,2020,"Dramas, International Movies",1
First Love,Philippines,2018,"Dramas, International Movies, Romantic Movies",1
Ludo,India,2020,"Comedies, Dramas, International Movies",1
Memories of a Teenager,Argentina,2019,"Dramas, International Movies, LGBTQ Movies",1
What We Wanted,Austria,2020,"Dramas, International Movies",1
Citation,Nigeria,2020,"Dramas, International Movies",1
Girl's Revenge,Taiwan,2020,"Dramas, International Movies",1
The Endless Trench,"Spain, France, Canada",2019,"Dramas, Independent Movies, International Movies",1
The Late Bloomer,United States,2016,Comedies,1
A New York Christmas Wedding,United States,2020,"Dramas, LGBTQ Movies, Romantic Movies",1
Alone/Together,Philippines,2019,"Dramas, International Movies, Romantic Movies",1
Midnight at the Magnolia,Canada,2020,"Comedies, Romantic Movies",1
Operation Christmas Drop,United States,2020,"Children & Family Movies, Comedies, Romantic Movies",1
A Christmas Catch,Canada,2018,"Dramas, Romantic Movies",1
Christmas with a Prince,Canada,2018,"Comedies, Dramas, Romantic Movies",1
Miss India,India,2020,"Dramas, International Movies",1
Felix Lobrecht: Hype,Germany,2020,Stand-Up Comedy,1
MOTHER,Japan,2020,"Dramas, International Movies",1
Prospect,"Canada, United States",2018,"Sci-Fi & Fantasy, Thrillers",1
Christmas Break-In,United States,2019,"Children & Family Movies, Comedies",1
Elf Pets: A Fox Cub’s Christmas Tale,United States,2020,Children & Family Movies,1
Elf Pets: Santa’s Reindeer Rescue,United States,2020,Children & Family Movies,1
Elliot the Littlest Reindeer,Canada,2018,Children & Family Movies,1
Mile 22,"United States, China, Colombia",2018,Action & Adventure,1
Piercing,United States,2018,"Dramas, Independent Movies, Thrillers",1
Snowden,"United Kingdom, France, Germany, United States",2016,"Dramas, Thrillers",1
Wheels of Fortune,United States,2020,"Comedies, Sports Movies",1
The 12th Man,Norway,2018,"Action & Adventure, Dramas, International Movies",1
Hidden in Plain Sight,United States,2019,"Dramas, Independent Movies, Thrillers",1
His House,United Kingdom,2020,"Horror Movies, Independent Movies",1
In Line,Nigeria,2017,"Dramas, International Movies",1
Kaali Khuhi,India,2020,"Horror Movies, International Movies",1
Rogue City,France,2020,"Dramas, International Movies, Thrillers",1
The Day of the Lord,"Mexico, Spain",2020,"Horror Movies, International Movies",1
Holidate,United States,2020,"Comedies, Romantic Movies",1
Nobody Sleeps in the Woods Tonight,Poland,2020,"Horror Movies, International Movies",1
Secrets of the Saqqara Tomb,United States,2020,Documentaries,1
Guillermo Vilas: Settling the Score,Argentina,2020,"Documentaries, International Movies, Sports Movies",1
Sarah Cooper: Everything's Fine,United States,2020,Comedies,1
Black '47,"Ireland, Luxembourg, Belgium",2018,"Action & Adventure, Dramas, Independent Movies",1
I Am Woman,Australia,2019,"Dramas, Music & Musicals",1
Alice Junior,Brazil,2019,"Comedies, International Movies, LGBTQ Movies",1
Over the Moon,"China, United States",2020,"Children & Family Movies, Music & Musicals",1
Shattered Memories,United States,2018,"Dramas, Thrillers",1
Bending the Arc,United States,2017,Documentaries,1
Cadaver,Norway,2020,"Horror Movies, International Movies",1
Exes Baggage,Philippines,2018,"Dramas, International Movies, Romantic Movies",1
Fisherman's Friends,United Kingdom,2019,"Comedies, Dramas, Music & Musicals",1
The Hows of Us,Philippines,2018,"Dramas, International Movies, Romantic Movies",1
The Hummingbird Project,"Canada, Belgium",2018,"Dramas, Independent Movies",1
"Yes, God, Yes",United States,2020,"Comedies, Dramas, Independent Movies",1
Brave Blue World: Racing to Solve Our Water Crisis,"Canada, United Kingdom",2020,"Documentaries, International Movies",1
Rebecca,United Kingdom,2020,"Dramas, Romantic Movies, Thrillers",1
The Magic School Bus Rides Again The Frizz Connection,Canada,2020,Children & Family Movies,1
Tremors: Shrieker Island,United States,2020,"Action & Adventure, Horror Movies",1
Listen,Lebanon,2017,"Dramas, Independent Movies, International Movies",1
Panoptic,Lebanon,2017,"Documentaries, International Movies",1
What Did I Mess,Lebanon,2018,"Comedies, International Movies, Romantic Movies",1
I Am Vengeance: Retaliation,United Kingdom,2020,Action & Adventure,1
Disconnect,Kenya,2018,"Comedies, International Movies, Romantic Movies",1
In a Valley of Violence,United States,2016,Action & Adventure,1
The Trial of the Chicago 7,"United States, United Kingdom, India",2020,Dramas,1
A Babysitter's Guide to Monster Hunting,United States,2020,Children & Family Movies,1
Batman: The Killing Joke,United States,2016,Action & Adventure,1
El-Khawaga's Dilemma,Egypt,2018,"Action & Adventure, Comedies, International Movies",1
Kartini: Princess of Java,"Indonesia, Netherlands",2017,"Dramas, International Movies",1
Love Like the Falling Rain,Indonesia,2020,"Dramas, International Movies, Romantic Movies",1
Rooting for Roona,India,2020,"Documentaries, International Movies",1
A Choo,Taiwan,2020,"Action & Adventure, International Movies, Romantic Movies",1
BLACKPINK: Light Up the Sky,United States,2020,"Documentaries, Music & Musicals",1
The Three Deaths of Marisela Escobedo,Mexico,2020,"Documentaries, International Movies",1
Octonauts & the Great Barrier Reef,United Kingdom,2020,Children & Family Movies,1
Hunterrr,India,2015,"Comedies, International Movies, Romantic Movies",1
House of the Witch,United States,2017,Horror Movies,1
Ginny Weds Sunny,India,2020,"Comedies, International Movies, Romantic Movies",1
My Step Dad: The Hippie,"Turkey, South Korea",2018,"Comedies, International Movies",1
Super Monsters: Dia de los Monsters,Canada,2020,Children & Family Movies,1
The Forty-Year-Old Version,United States,2020,"Comedies, Dramas, Independent Movies",1
Bigflo & Oli: Hip Hop Frenzy,France,2020,"Documentaries, International Movies, Music & Musicals",1
Hubie Halloween,United States,2020,"Comedies, Horror Movies",1
American Pie 9: Girls' Rules,United States,2020,Comedies,1
Dolly Parton: Here I Am,United Kingdom,2019,"Documentaries, Music & Musicals",1
StarBeam: Halloween Hero,Canada,2020,Children & Family Movies,1
Walk Away from Love,United States,2017,"Dramas, Romantic Movies",1
David Attenborough: A Life on Our Planet,"United States, United Kingdom",2020,Documentaries,1
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Canada,2020,"Documentaries, LGBTQ Movies",1
Good Game: The Beginning,Turkey,2018,"Dramas, International Movies, Sports Movies",1
A Chaster Marriage,Turkey,2016,"Comedies, International Movies, Romantic Movies",1
Òlòtūré,Nigeria,2020,"Dramas, International Movies",1
Serious Men,India,2020,"Comedies, Dramas, International Movies",1
The Binding,Italy,2020,"Horror Movies, International Movies, Thrillers",1
Turkish Dance School,Turkey,2017,"Comedies, International Movies, Romantic Movies",1
Vampires vs. the Bronx,United States,2020,"Comedies, Horror Movies",1
